"ticker","name","date","open","high","low","close","adjusted_close","volume"
"AAPL","Apple Inc. - Common Stock","2021-01-04 04:00:00-05:00",133.31,134.0,133.02,133.74,133.74,0
"AAPL","Apple Inc. - Common Stock","2021-01-04 05:00:00-05:00",133.98,134.01,133.5,133.6,133.6,0
"AAPL","Apple Inc. - Common Stock","2021-01-04 06:00:00-05:00",133.68,134.43,133.43,134.22,134.22,0
"AAPL","Apple Inc. - Common Stock","2021-01-04 07:00:00-05:00",134.2,134.35,133.6,133.75,133.75,0
"AAPL","Apple Inc. - Common Stock","2021-01-04 08:00:00-05:00",133.75,134.1,133.53,134.02,134.02,0
"AAPL","Apple Inc. - Common Stock","2021-01-04 09:00:00-05:00",134.01,134.04,132.69,133.53,133.53,0
"AAPL","Apple Inc. - Common Stock","2021-01-04 09:30:00-05:00",133.57000732421875,133.61160278320312,130.3800048828125,131.05360412597656,131.05360412597656,27653145
"AAPL","Apple Inc. - Common Stock","2021-01-04 10:30:00-05:00",131.05499267578125,131.30999755859375,129.39999389648438,129.89500427246094,129.89500427246094,20134055
"AAPL","Apple Inc. - Common Stock","2021-01-04 11:30:00-05:00",129.889892578125,130.08999633789062,126.76000213623048,128.25,128.25,23694210
"AAPL","Apple Inc. - Common Stock","2021-01-04 12:30:00-05:00",128.2469024658203,129.11000061035156,127.63009643554688,129.039794921875,129.039794921875,14745063
"AAPL","Apple Inc. - Common Stock","2021-01-04 13:30:00-05:00",129.0399932861328,129.1999969482422,128.59500122070312,128.9600067138672,128.9600067138672,10861778
"AAPL","Apple Inc. - Common Stock","2021-01-04 14:30:00-05:00",128.9600067138672,129.5800018310547,128.63999938964844,129.07000732421875,129.07000732421875,13187712
"AAPL","Apple Inc. - Common Stock","2021-01-04 15:30:00-05:00",129.05999755859375,129.74000549316406,128.75999450683594,129.41000366210938,129.41000366210938,12240987
"AAPL","Apple Inc. - Common Stock","2021-01-04 16:00:00-05:00",129.41,129.7093,129.16,129.36,129.36,0
"AAPL","Apple Inc. - Common Stock","2021-01-04 17:00:00-05:00",129.4,129.7,129.26,129.37,129.37,0
"AAPL","Apple Inc. - Common Stock","2021-01-04 18:00:00-05:00",129.38,129.4,129.15,129.3,129.3,0
"AAPL","Apple Inc. - Common Stock","2021-01-05 04:00:00-05:00",130.07,130.07,129.68,129.84,129.84,0
"AAPL","Apple Inc. - Common Stock","2021-01-05 05:00:00-05:00",129.89,130.26,129.75,130.23,130.23,0
"AAPL","Apple Inc. - Common Stock","2021-01-05 06:00:00-05:00",130.22,130.27,129.97,130.23,130.23,0
"AAPL","Apple Inc. - Common Stock","2021-01-05 07:00:00-05:00",130.25,130.3,129.01,129.22,129.22,0
"AAPL","Apple Inc. - Common Stock","2021-01-05 08:00:00-05:00",129.23,129.83,128.85,129.1,129.1,0
"AAPL","Apple Inc. - Common Stock","2021-01-05 09:00:00-05:00",129.09,129.14,128.31,128.75,128.75,0
"AAPL","Apple Inc. - Common Stock","2021-01-05 09:30:00-05:00",128.88999938964844,131.74000549316406,128.42999267578125,131.052001953125,131.052001953125,26798455
"AAPL","Apple Inc. - Common Stock","2021-01-05 10:30:00-05:00",131.07000732421875,131.41929626464844,129.92999267578125,130.3800048828125,130.3800048828125,14752547
"AAPL","Apple Inc. - Common Stock","2021-01-05 11:30:00-05:00",130.37489318847656,130.67999267578125,129.83999633789062,130.14990234375,130.14990234375,10321153
"AAPL","Apple Inc. - Common Stock","2021-01-05 12:30:00-05:00",130.14500427246094,130.33999633789062,129.85000610351562,130.0449981689453,130.0449981689453,6214402
"AAPL","Apple Inc. - Common Stock","2021-01-05 13:30:00-05:00",130.04080200195312,131.25,130.0399932861328,131.11000061035156,131.11000061035156,9688012
"AAPL","Apple Inc. - Common Stock","2021-01-05 14:30:00-05:00",131.11000061035156,131.40499877929688,130.81500244140625,130.8300018310547,130.8300018310547,8923737
"AAPL","Apple Inc. - Common Stock","2021-01-05 15:30:00-05:00",130.83250427246094,131.4499969482422,130.75999450683594,130.9499969482422,130.9499969482422,8755449
"AAPL","Apple Inc. - Common Stock","2021-01-05 16:00:00-05:00",130.95,131.32,130.795,131.01,131.01,0
"AAPL","Apple Inc. - Common Stock","2021-01-05 17:00:00-05:00",130.94,131.01,130.85,130.89,130.89,0
"AAPL","Apple Inc. - Common Stock","2021-01-05 18:00:00-05:00",130.85,131.0,130.71,130.73,130.73,0
"AAPL","Apple Inc. - Common Stock","2021-01-06 04:00:00-05:00",128.5,129.03,128.0,128.37,128.37,0
"AAPL","Apple Inc. - Common Stock","2021-01-06 05:00:00-05:00",128.44,128.99,128.11,128.55,128.55,0
"AAPL","Apple Inc. - Common Stock","2021-01-06 06:00:00-05:00",128.6,128.67,127.62,127.62,127.62,0
"AAPL","Apple Inc. - Common Stock","2021-01-06 07:00:00-05:00",127.75,129.13,127.52,128.8,128.8,0
"AAPL","Apple Inc. - Common Stock","2021-01-06 08:00:00-05:00",128.76,129.2,128.2,128.79,128.79,0
"AAPL","Apple Inc. - Common Stock","2021-01-06 09:00:00-05:00",128.76,129.069,128.0,128.06,128.06,0
"AAPL","Apple Inc. - Common Stock","2021-01-06 09:30:00-05:00",127.625,129.2100067138672,126.80799865722656,128.95010375976562,128.95010375976562,39023666
"AAPL","Apple Inc. - Common Stock","2021-01-06 10:30:00-05:00",128.9600067138672,131.04989624023438,128.81500244140625,130.4199981689453,130.4199981689453,21698227
"AAPL","Apple Inc. - Common Stock","2021-01-06 11:30:00-05:00",130.42999267578125,130.76849365234375,129.88999938964844,130.3249969482422,130.3249969482422,13567172
"AAPL","Apple Inc. - Common Stock","2021-01-06 12:30:00-05:00",130.3292999267578,130.5399932861328,129.2100067138672,129.24000549316406,129.24000549316406,11268244
"AAPL","Apple Inc. - Common Stock","2021-01-06 13:30:00-05:00",129.25,129.60000610351562,127.75,127.8000030517578,127.8000030517578,14784972
